Conference,Year,Title,DOI,Link,FirstPage,LastPage,PaperType,Abstract,AuthorNames-Deduped,AuthorNames,AuthorAffiliation,InternalReferences,AuthorKeywords,AminerCitationCount_04-2020,XploreCitationCount - 2021-02,PubsCited,Award,Doc_ID,doc_index
InfoVis,2018,Visualizing Ranges over Time on Mobile Phones: A Task-Based Crowdsourced Evaluation,10.1109/TVCG.2018.2865234,http://dx.doi.org/10.1109/TVCG.2018.2865234,619,629,J,"In the first crowdsourced visualization experiment conducted exclusively on mobile phones, we compare approaches to visualizing ranges over time on small displays. People routinely consume such data via a mobile phone, from temperatures in weather forecasting apps to sleep and blood pressure readings in personal health apps. However, we lack guidance on how to effectively visualize ranges on small displays in the context of different value retrieval and comparison tasks, or with respect to different data characteristics such as periodicity, seasonality, or the cardinality of ranges. Central to our experiment is a comparison between two ways to lay out ranges: a more conventional linear layout strikes a balance between quantitative and chronological scale resolution, while a less conventional radial layout emphasizes the cyclicality of time and may prioritize discrimination between values at its periphery. With results from 87 crowd workers, we found that while participants completed tasks more quickly with linear layouts than with radial ones, there were few differences in terms of error rate between layout conditions. We also found that participants performed similarly with both layouts in tasks that involved comparing superimposed observed and average ranges.",Matthew Brehmer;Bongshin Lee;Petra Isenberg;Eun Kyoung Choe,Matthew Brehmer;Bongshin Lee;Petra Isenberg;Eun Kyoung Choe,"Microsoft Research;Microsoft Research;Inria;The University of Maryland, College Park",10.1109/TVCG.2011.185;10.1109/TVCG.2013.124;10.1109/TVCG.2010.209;10.1109/TVCG.2010.162;10.1109/VAST.2007.4388994,"Evaluation,graphical perception,mobile phones,range visualization,crowdsourcing",4.0,4.0,54.0,,559,560
VAST,2012,Incorporating GOMS analysis into the design of an EEG data visual analysis tool,10.1109/VAST.2012.6400542,http://dx.doi.org/10.1109/VAST.2012.6400542,223,224,M,"In this paper, we present a case study where we incorporate GOMS (Goals, Operators, Methods, and Selectors) [2] task analysis into the design process of a visual analysis tool. We performed GOMS analysis on an Electroencephalography (EEG) analyst's current data analysis strategy to identify important user tasks and unnecessary user actions in his current workflow. We then designed an EEG data visual analysis tool based on the GOMS analysis result. Evaluation results show that the tool we have developed, EEGVis, allows the user to analyze EEG data with reduced subjective cognitive load, faster speed and increased confidence in the analysis quality. The positive evaluation results suggest that our design process demonstrates an effective application of GOMS analysis to discover opportunities for designing better tools to support the user's visual analysis process.",Hua Guo;Diem Tran;David H. Laidlaw,Hua Guo;Diem Tran;David H. Laidlaw,Department of Computer Science Brown University;Department of Computer Science Brown University;Department of Computer Science Brown University,,,2.0,1.0,7.0,,379,380
Vis,1997,Collision detection for volumetric objects,10.1109/VISUAL.1997.663851,http://dx.doi.org/10.1109/VISUAL.1997.663851,27,34,C,"We propose a probability model for the handling of complicated interactions between volumetric objects. In our model each volume is associated with a ""probability map"" that assigns a ""surface crossing"" probability to each space point according to local volume properties. The interaction between two volumes is then described by finding the intersecting regions between the volumes, and calculating the ""collision probabilities"" at each intersecting point from the surface crossing probabilities. To enable fast and efficient calculations, we introduce the concept of a distance map and develop two hierarchical collision detection algorithms, taking advantage of the uniform structure of volumetric datasets.",Taosong He;Arie E. Kaufman,Taosong He;A. Kaufman,"AT&T Bell Labs., Naperville, IL, USA",10.1109/VISUAL.1996.568108;10.1109/VISUAL.1994.346340,"volume visualization, volume rendering, virtual reality, volume graphics, volumetric collision, collision probability, surface crossing probability, distance map, octree, sphere tree",51.0,12.0,14.0,,2328,2329
InfoVis,2012,Spatial Text Visualization Using Automatic Typographic Maps,10.1109/TVCG.2012.264,http://dx.doi.org/10.1109/TVCG.2012.264,2556,2564,J,"We present a method for automatically building typographic maps that merge text and spatial data into a visual representation where text alone forms the graphical features. We further show how to use this approach to visualize spatial data such as traffic density, crime rate, or demographic data. The technique accepts a vector representation of a geographic map and spatializes the textual labels in the space onto polylines and polygons based on user-defined visual attributes and constraints. Our sample implementation runs as a Web service, spatializing shape files from the OpenStreetMap project into typographic maps for any region.",Shehzad Afzal;Ross Maciejewski;Yun Jang;Niklas Elmqvist;David S. Ebert,Shehzad Afzal;Ross Maciejewski;Yun Jang;Niklas Elmqvist;David S. Ebert,Purdue University;Arizona State University;Sejong University;Purdue University;Purdue University,10.1109/VAST.2010.5652931;10.1109/TVCG.2010.191;10.1109/TVCG.2010.175;10.1109/INFVIS.1995.528686;10.1109/VISUAL.1997.663912;10.1109/VISUAL.2000.885694;10.1109/INFVIS.2005.1532131;10.1109/INFVIS.2002.1173144;10.1109/TVCG.2008.165;10.1109/TVCG.2010.194;10.1109/TVCG.2009.171;10.1109/INFVIS.2000.885095,"Geovisualization, spatial data, text visualization, label placement",30.0,21.0,48.0,,1847,1848
Vis,2004,Pixel-exact rendering of spacetime finite element solutions,10.1109/VISUAL.2004.81,http://dx.doi.org/10.1109/VISUAL.2004.81,425,432,C,"Computational simulation of time-varying physical processes is of fundamental importance for many scientific and engineering applications. Most frequently, time-varying simulations are performed over multiple spatial grids at discrete points in time. We investigate a new approach to time-varying simulation: spacetime discontinuous Galerkin finite element methods. The result of this simulation method is a simplicial tessellation of spacetime with per-element polynomial solutions for physical quantities such as strain, stress, and velocity. To provide accurate visualizations of the resulting solutions, we have developed a method for per-pixel evaluation of solution data on the GPU. We demonstrate the importance of per-pixel rendering versus simple linear interpolation for producing high quality visualizations. We also show that our system can accommodate reasonably large datasets - spacetime meshes containing up to 20 million tetrahedra are not uncommon in this domain.",Yuan Zhou;Michael Garland;Robert Haber,Yuan Zhou;M. Garland;R. Haber,"Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA;Dept. of Comput. Sci., Illinois Univ., Urbana, IL, USA",10.1109/VISUAL.2000.885704;10.1109/VISUAL.1990.146361;10.1109/VISUAL.2003.1250354;10.1109/VISUAL.2003.1250384;10.1109/VISUAL.2003.1250386,"pixel-exact visualization, pixel shaders, spacetime finite elements, discontinuous Galerkin methods",15.0,6.0,31.0,,1225,1226
Vis,2003,Hybrid segmentation and exploration of the human lungs,10.1109/VISUAL.2003.1250370,http://dx.doi.org/10.1109/VISUAL.2003.1250370,177,184,C,"Segmentation of the tracheo-bronchial tree of the lungs is notoriously difficult. This is due to the fact that the small size of some of the anatomical structures is subject to partial volume effects. Furthermore, the limited intensity contrast between the participating materials (air, blood, and tissue) increases the segmentation of difficulties. In this paper, we propose a hybrid segmentation method which is based on a pipeline of three segmentation stages to extract the lower airways down to the seventh generation of the bronchi. User interaction is limited to the specification of a seed point inside the easily detectable trachea at the upper end of the lower airways. Similarly, the complementary vascular tree of the lungs can be segmented. Furthermore, we modified our virtual endoscopy system to visualize the vascular and airway system of the lungs along with other features, such as lung tumors.",Dirk Bartz;Dirk Mayer;Jan Fischer;Sebastian Ley;Ángel del Río;Steffi Thust;Claus Peter Heussel;Hans-Ulrich Kauczor;Wolfgang Straßer,D. Bartz;D. Mayer;J. Fischer;S. Ley;A. del Rio;S. Thust;C.P. Heussel;H.-U. Kauczor;W. Strasser,"Visual Comput. for Medicine, Eberhard-Karls-Univ. Tubingen, Germany",10.1109/VISUAL.2000.885732,"Tracheo-bronchial tree, segmentation, multi-slice CT, virtual endoscopy",52.0,26.0,17.0,,2353,2354
Vis,2001,Continuous topology simplification of planar vector fields,10.1109/VISUAL.2001.964507,http://dx.doi.org/10.1109/VISUAL.2001.964507,159,166,C,"Vector fields can present complex structural behavior, especially in turbulent computational fluid dynamics. The topological analysis of these data sets reduces the information, but one is usually still left with too many details for interpretation. In this paper, we present a simplification approach that removes pairs of critical points from the data set, based on relevance measures. In contrast to earlier methods, no grid changes are necessary, since the whole method uses small local changes of the vector values defining the vector field. An interpretation in terms of bifurcations underlines the continuous, natural flavor of the algorithm.",Xavier Tricoche;Gerik Scheuermann;Hans Hagen,X. Tricoche;G. Scheuermann;H. Hagen,"Dept. of Comput. Sci., Kaiserslautern Univ., Germany;Dept. of Comput. Sci., Kaiserslautern Univ., Germany;Dept. of Comput. Sci., Kaiserslautern Univ., Germany",10.1109/VISUAL.2000.885716;10.1109/VISUAL.1998.745318;10.1109/VISUAL.1991.175773;10.1109/VISUAL.1999.809907,"vector field topology, flow visualization, unstructured grid, simplification",92.0,55.0,10.0,,2771,2772
Vis,2001,Visualizing 2D probability distributions from EOS satellite image-derived data sets: a case study,10.1109/VISUAL.2001.964550,http://dx.doi.org/10.1109/VISUAL.2001.964550,457,460,C,"Maps of biophysical and geophysical variables using Earth Observing System (EOS) satellite image data are an important component of Earth science. These maps have a single value derived at every grid cell and standard techniques are used to visualize them. Current tools fall short, however, when it is necessary to describe a distribution of values at each grid cell. Distributions may represent a frequency of occurrence over time, frequency of occurrence from multiple runs of an ensemble forecast or possible values from an uncertainty model. We identify these ""distribution data sets"" and present a case study to visualize such 2D distributions. Distribution data sets are different from multivariate data sets in the sense that the values are for a single variable instead of multiple variables. Data for this case study consists of multiple realizations of percent forest cover, generated using a geostatistical technique that combines ground measurements and satellite imagery to model uncertainty about forest cover. We present two general approaches for analyzing and visualizing such data sets. The first is a pixel-wise analysis of the probability density functions for the 2D image while the second is an analysis of features identified within the image. Such pixel-wise and feature-wise views will give Earth scientists a more complete understanding of distribution data sets. See www.cse.ucsc.edu/research/avis/nasa is for additional information.",David L. Kao;Jennifer L. Dungan;Alex T. Pang,D. Kao;J.L. Dungan;A. Pang,"NASA Ames Res. Center, Moffett Field, CA, USA;NASA Ames Res. Center, Moffett Field, CA, USA",,"uncertainty, probability density function, geostatistics, conditional simulation, data assimilation",35.0,20.0,15.0,,1975,1976
VAST,2009,VAST 2009 challenge: An insider threat,10.1109/VAST.2009.5334454,http://dx.doi.org/10.1109/VAST.2009.5334454,,,M,"The 4th VAST Challenge centered on a cyber analytics scenario and offered three mini-challenges with datasets of badge and network traffic data, a social network including geospatial information, and security video. Teams could also enter the Grand challenge which combined all three datasets. In this paper, we summarize the dataset, the overall scenario and the questions asked in the challenges. We describe the judging process and new infrastructure developed to manage the submissions and compute accuracy measures in the social network mini challenge. We received 49 entries from 30 teams, and gave 23 different awards to a total of 16 teams.",Georges G. Grinstein;Jean Scholtz;Mark A. Whiting;Catherine Plaisant,Georges Grinstein;Jean Scholtz;Mark Whiting;Catherine Plaisant,"University of Massachusetts Lowell, USA;Pacific Northwest National Laboratory, USA;Pacific Northwest National Laboratory, USA;University of Maryland, USA",,,8.0,0.0,7.0,,818,819
Vis,2010,Fast High-Quality Volume Ray Casting with Virtual Samplings,10.1109/TVCG.2010.155,http://dx.doi.org/10.1109/TVCG.2010.155,1525,1532,J,"Volume ray-casting with a higher order reconstruction filter and/or a higher sampling rate has been adopted in direct volume rendering frameworks to provide a smooth reconstruction of the volume scalar and/or to reduce artifacts when the combined frequency of the volume and transfer function is high. While it enables high-quality volume rendering, it cannot support interactive rendering due to its high computational cost. In this paper, we propose a fast high-quality volume ray-casting algorithm which effectively increases the sampling rate. While a ray traverses the volume, intensity values are uniformly reconstructed using a high-order convolution filter. Additional samplings, referred to as virtual samplings, are carried out within a ray segment from a cubic spline curve interpolating those uniformly reconstructed intensities. These virtual samplings are performed by evaluating the polynomial function of the cubic spline curve via simple arithmetic operations. The min max blocks are refined accordingly for accurate empty space skipping in the proposed method. Experimental results demonstrate that the proposed algorithm, also exploiting fast cubic texture filtering supported by programmable GPUs, offers renderings as good as a conventional ray-casting algorithm using high-order reconstruction filtering at the same sampling rate, while delivering 2.5x to 3.3x rendering speed-up.",Byeonghun Lee;Jihye Yun;Jinwook Seo;Byonghyo Shim;Yeong-Gil Shin;Bo Hyoung Kim,Byeonghun Lee;Jihye Yun;Jinwook Seo;Byonghyo Shim;Yeong-Gil Shin;Bohyoung Kim,"Seoul National University, Seoul, Korea;Seoul National University, Seoul, Korea;Seoul National University, Seoul, Korea;Korea University, Seoul, Korea;Seoul National University, Seoul, Korea;Seoul National University, Seoul, Korea",10.1109/VISUAL.1994.346331;10.1109/VISUAL.2004.70;10.1109/VISUAL.2005.1532810;10.1109/TVCG.2009.204;10.1109/VISUAL.2003.1250384,"Direct volume rendering, GPU, high quality, curve interpolation",13.0,12.0,23.0,,1127,1128
