Sentence #,Abstract,POS,Tag,Doc_ID
Sentence: 34092,RAVALOMANANA achieved a second term following a landslide victory in the generally free and fair presidential elections of 2006 .,"['NNP', 'VBD', 'DT', 'JJ', 'NN', 'VBG', 'DT', 'NN', 'NN', 'IN', 'DT', 'RB', 'JJ', 'CC', 'JJ', 'JJ', 'NNS', 'IN', 'CD', '.']","['B-per', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']",0
Sentence: 5782,A statement from the National Hurricane Center says Wilma is still a strong category 4 hurricane with winds near 250 kilometers per hour .,"['DT', 'NN', 'IN', 'DT', 'NNP', 'NNP', 'NNP', 'VBZ', 'NNP', 'VBZ', 'RB', 'DT', 'JJ', 'NN', 'CD', 'NN', 'IN', 'NNS', 'IN', 'CD', 'NNS', 'IN', 'NN', '.']","['O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'B-eve', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",1
Sentence: 11084,"Separately , government officials said unidentified gunmen kidnapped two workers from the ministry of rural development .","['RB', ',', 'NN', 'NNS', 'VBD', 'JJ', 'NNS', 'VBD', 'CD', 'NNS', 'IN', 'DT', 'NN', 'IN', 'JJ', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",2
Sentence: 13572,"The warning says "" life-threatening "" weather conditions are expected and strongly discourages travel .","['DT', 'NN', 'VBZ', '``', 'JJ', '``', 'NN', 'NNS', 'VBP', 'VBN', 'CC', 'RB', 'VBZ', 'NN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",3
Sentence: 363,"The U.N. says the deal , which was signed Wednesday , will allow some 16,000 Sudanese refugees living in the CAR to voluntarily return home .","['DT', 'NNP', 'VBZ', 'DT', 'NN', ',', 'WDT', 'VBD', 'VBN', 'NNP', ',', 'MD', 'VB', 'DT', 'CD', 'JJ', 'NNS', 'VBG', 'IN', 'DT', 'NNP', 'TO', 'RB', 'VB', 'NN', '.']","['O', 'B-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O']",4
Sentence: 37691,"In 1974 , a Greek Government-sponsored attempt to seize control of Cyprus was met by military intervention from Turkey , which soon controlled more than a third of the island .","['IN', 'CD', ',', 'DT', 'JJ', 'JJ', 'NN', 'TO', 'VB', 'NN', 'IN', 'NNP', 'VBD', 'VBN', 'IN', 'JJ', 'NN', 'IN', 'NNP', ',', 'WDT', 'RB', 'VBD', 'JJR', 'IN', 'DT', 'NN', 'IN', 'DT', 'NN', '.']","['O', 'B-tim', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",5
Sentence: 13403,"Meanwhile , in Baghdad , firefighters extinguished a blaze at the city 's main oil refinery , which was attacked by saboteurs late Thursday .","['RB', ',', 'IN', 'NNP', ',', 'NNS', 'VBD', 'DT', 'NN', 'IN', 'DT', 'NN', 'POS', 'JJ', 'NN', 'NN', ',', 'WDT', 'VBD', 'VBN', 'IN', 'NNS', 'JJ', 'NNP', '.']","['O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-tim', 'O']",6
Sentence: 34932,"England 's bowlers have picked apart Sri Lanka 's lineup , with the host nation dismissed for only 188 runs on the first day of their first test match at Asgiriya Stadium in Kandy , Sri Lanka .","['NNP', 'POS', 'NNS', 'VBP', 'VBN', 'RP', 'NNP', 'NNP', 'POS', 'NN', ',', 'IN', 'DT', 'NN', 'NN', 'VBD', 'IN', 'RB', 'CD', 'NNS', 'IN', 'DT', 'JJ', 'NN', 'IN', 'PRP$', 'JJ', 'NN', 'NN', 'IN', 'NNP', 'NNP', 'IN', 'NNP', ',', 'NNP', 'NNP', '.']","['B-org', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'O', 'B-geo', 'O', 'B-geo', 'I-geo', 'O']",7
Sentence: 28118,"Many schools in two other southern provinces , Narathiwat and Pattani , are also closed .","['JJ', 'NNS', 'IN', 'CD', 'JJ', 'JJ', 'NNS', ',', 'NNP', 'CC', 'NNP', ',', 'VBP', 'RB', 'VBN', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-org', 'I-org', 'I-org', 'O', 'O', 'O', 'O', 'O']",8
Sentence: 35780,"Over the past two decades , tens of thousands of Somalis have fled to Scandinavia to escape war and poverty in their homeland .","['IN', 'DT', 'JJ', 'CD', 'NNS', ',', 'NNS', 'IN', 'NNS', 'IN', 'NNS', 'VBP', 'VBN', 'TO', 'NNP', 'TO', 'VB', 'NN', 'CC', 'NN', 'IN', 'PRP$', 'NN', '.']","['O', 'O', 'B-tim', 'I-tim', 'I-tim', 'O', 'O', 'O', 'O', 'O', 'B-gpe', 'O', 'O', 'O', 'B-geo', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",9
